date,batter,pitcher,bvp_pa,bvp_avg,fd_pts,baseline,rel,bucket
2026-04-20,621566,663623,21,0.211,25.7,15.63,10.07,MID
2026-04-20,663586,663623,15,0.231,6.2,12.57,-6.37,MID
2026-04-20,645277,663623,17,0.133,9.7,10.64,-0.94,BAD
2026-04-20,671739,663623,24,0.318,6.5,9.69,-3.19,GOOD
2026-04-25,621566,554430,36,0.188,21.4,15.52,5.88,BAD
2026-04-25,671739,554430,24,0.273,13.0,11.71,1.29,MID
2026-04-25,663586,554430,50,0.277,9.5,11.13,-1.63,MID
2026-04-25,645277,554430,57,0.185,21.7,11.1,10.6,BAD
2026-04-25,660670,554430,54,0.231,9.0,10.21,-1.21,MID
2026-04-26,621566,605400,42,0.257,25.7,15.78,9.92,MID
2026-04-26,671739,605400,32,0.241,3.0,11.78,-8.78,MID
2026-04-26,645277,605400,75,0.271,3.0,11.56,-8.56,MID
2026-04-26,663586,605400,63,0.367,0.0,11.06,-11.06,GOOD
2026-04-26,660670,605400,62,0.333,21.4,10.16,11.24,GOOD
2026-04-30,621566,664285,22,0.263,0.0,16.52,-16.52,MID
2026-05-04,621566,669302,19,0.25,21.7,16.31,5.39,MID
2026-05-04,643289,669302,17,0.176,0.0,8.33,-8.33,BAD
2026-05-05,622761,669923,15,0.214,0.0,9.71,-9.71,MID
2026-05-09,621566,605483,22,0.222,19.0,15.93,3.07,MID
2026-05-18,621566,676974,15,0.2,3.0,14.2,-11.2,BAD
2026-05-21,621566,645261,31,0.071,0.0,14.1,-14.1,BAD
2026-05-21,660670,645261,47,0.342,16.2,10.56,5.64,GOOD
2026-05-21,645277,645261,51,0.333,9.2,10.39,-1.19,GOOD
2026-05-21,663586,645261,37,0.143,0.0,10.2,-10.2,BAD
2026-05-21,671739,645261,22,0.333,40.9,9.05,31.85,GOOD
2026-05-23,621566,663623,21,0.211,3.0,13.49,-10.49,MID
2026-05-23,645277,663623,17,0.133,0.0,10.2,-10.2,BAD
2026-05-23,663586,663623,15,0.231,0.0,10.09,-10.09,MID
2026-05-23,671739,663623,24,0.318,3.0,9.72,-6.72,GOOD
2026-05-26,621566,624133,35,0.267,25.2,13.12,12.08,MID
2026-05-26,660670,624133,28,0.2,6.5,10.06,-3.56,BAD
