date,month,game,total,coors,side4_home,side4_away,split22,split31_h,split31_a
2026-04-20,2026-04,LAD@COL,6.5,True,24.7,86.39999999999999,36.599999999999994,24.7,86.39999999999999
2026-04-22,2026-04,SD@COL,6.5,True,74.5,27.7,77.3,68.0,46.4
2026-04-23,2026-04,SD@COL,6.0,True,90.5,68.8,96.7,109.5,112.4
2026-04-24,2026-04,CHC@LAD,5.0,False,18.2,56.9,18.5,24.7,59.9
2026-04-25,2026-04,SD@ARI,8.5,False,21.4,32.099999999999994,24.9,27.9,24.9
2026-04-26,2026-04,SD@ARI,8.5,False,81.7,24.4,72.0,81.2,30.599999999999998
2026-04-27,2026-04,LAA@CWS,5.0,False,59.6,53.599999999999994,75.3,71.8,79.3
2026-04-28,2026-04,DET@ATL,5.0,False,43.9,18.0,21.7,21.7,21.7
2026-04-29,2026-04,COL@CIN,5.5,False,24.0,106.10000000000001,78.0,36.7,96.9
2026-04-30,2026-04,COL@CIN,5.0,False,40.099999999999994,15.7,15.7,40.099999999999994,12.5
2026-05-02,2026-05,CLE@ATH,6.0,False,69.0,68.3,47.099999999999994,78.8,62.3
2026-05-03,2026-05,ARI@CHC,6.5,False,42.8,21.2,21.2,33.6,27.4
2026-05-05,2026-05,BAL@MIA,5.0,False,65.6,34.6,40.4,72.1,46.8
2026-05-06,2026-05,CWS@LAA,5.0,False,60.099999999999994,15.7,25.2,53.599999999999994,15.7
2026-05-07,2026-05,NYM@COL,6.0,True,47.7,21.0,24.0,53.7,21.0
2026-05-08,2026-05,ATH@BAL,5.0,False,49.599999999999994,28.2,68.6,49.599999999999994,53.099999999999994
2026-05-09,2026-05,NYM@ARI,5.5,False,31.4,9.2,19.2,25.2,13.0
2026-05-11,2026-05,SF@LAD,5.0,False,34.4,96.6,36.8,52.8,59.0
2026-05-12,2026-05,STL@ATH,5.5,False,50.4,62.3,94.5,63.099999999999994,72.0
2026-05-13,2026-05,STL@ATH,5.5,False,66.3,27.5,53.6,47.6,21.7
2026-05-14,2026-05,STL@ATH,5.5,False,52.7,43.9,81.1,71.9,71.6
2026-05-15,2026-05,ARI@COL,6.0,True,24.7,74.19999999999999,71.5,53.099999999999994,77.19999999999999
2026-05-16,2026-05,ARI@COL,6.5,True,44.0,30.5,34.5,34.5,31.5
2026-05-17,2026-05,ARI@COL,5.5,True,43.3,87.5,69.0,34.599999999999994,75.3
2026-05-18,2026-05,CIN@PHI,5.5,False,52.599999999999994,49.4,33.4,30.4,43.099999999999994
2026-05-20,2026-05,ATH@LAA,5.5,False,56.099999999999994,31.099999999999998,37.3,50.3,40.3
2026-05-22,2026-05,COL@ARI,5.0,False,24.2,37.2,33.7,21.7,43.2
2026-05-23,2026-05,COL@ARI,5.0,False,56.4,58.8,18.2,31.2,43.099999999999994
2026-05-25,2026-05,SEA@ATH,5.5,False,24.7,75.5,62.599999999999994,59.599999999999994,59.8
2026-05-26,2026-05,COL@LAD,5.0,False,71.7,43.099999999999994,87.2,84.2,43.3
2026-05-27,2026-05,TB@BAL,5.5,False,74.5,24.2,39.599999999999994,68.3,39.4
2026-05-28,2026-05,LAA@DET,4.5,False,6.0,62.599999999999994,49.9,34.2,56.099999999999994
2026-05-30,2026-05,SF@COL,6.0,True,75.3,6.0,65.8,78.3,15.2
2026-05-31,2026-05,SF@COL,6.0,True,37.4,126.6,54.8,40.9,91.6
2026-06-02,2026-06,LAD@ARI,5.0,False,56.599999999999994,66.1,69.3,82.0,87.8
2026-06-03,2026-06,CWS@MIN,5.0,False,6.0,58.8,18.9,21.9,52.8
2026-06-04,2026-06,ATH@CHC,5.5,False,84.3,62.599999999999994,81.8,75.1,97.5
2026-06-05,2026-06,MIL@COL,6.5,True,67.8,53.7,61.8,64.6,49.8
2026-06-07,2026-06,MIL@COL,6.0,True,49.9,75.3,50.2,44.4,63.099999999999994
2026-06-08,2026-06,MIL@ATH,6.0,False,141.1,107.1,138.5,166.8,138.8
2026-06-09,2026-06,MIL@ATH,7.5,False,74.8,44.099999999999994,53.099999999999994,56.099999999999994,56.099999999999994
2026-06-10,2026-06,MIL@ATH,8.0,False,24.2,33.9,33.7,15.0,27.7
2026-06-11,2026-06,CHC@COL,6.0,True,36.0,58.8,52.099999999999994,42.7,55.8
2026-06-14,2026-06,COL@ATH,8.0,False,74.8,205.7,144.6,125.4,180.29999999999998
2026-06-15,2026-06,PIT@ATH,5.5,False,75.8,21.0,68.9,72.1,71.9
2026-06-16,2026-06,PIT@ATH,6.0,False,58.3,93.2,81.0,74.5,87.2
2026-06-17,2026-06,COL@CHC,6.0,False,55.599999999999994,37.9,65.3,59.099999999999994,53.099999999999994
2026-06-19,2026-06,PIT@COL,6.5,True,40.2,18.7,18.5,25.0,18.7
2026-06-20,2026-06,LAA@ATH,5.5,False,15.0,46.599999999999994,46.4,31.2,55.599999999999994
2026-06-21,2026-06,PIT@COL,6.5,True,41.099999999999994,50.3,50.3,50.3,50.3
2026-06-22,2026-06,BOS@COL,6.5,True,34.9,27.9,24.9,41.4,21.9
2026-06-23,2026-06,BOS@COL,5.5,True,21.0,58.7,21.0,21.0,21.5
2026-06-24,2026-06,BOS@COL,5.5,True,43.3,34.2,25.2,31.4,40.400000000000006
2026-06-26,2026-06,COL@MIN,5.0,False,89.0,66.6,107.69999999999999,101.7,89.0
2026-06-27,2026-06,COL@MIN,5.0,False,33.9,97.19999999999999,84.5,27.9,96.69999999999999
2026-06-28,2026-06,ATH@LAA,5.5,False,12.2,9.0,9.0,3.0,9.0
2026-06-29,2026-06,MIA@COL,6.5,True,62.3,58.5,71.0,77.8,67.9
2026-06-30,2026-06,CWS@BAL,6.0,False,37.4,40.599999999999994,47.099999999999994,24.9,40.9
2026-07-01,2026-07,SD@CHC,7.0,False,174.2,33.4,65.5,142.29999999999998,59.3
2026-07-02,2026-07,MIA@COL,6.5,True,114.30000000000001,47.1,89.19999999999999,116.80000000000001,54.3
2026-07-03,2026-07,MIA@ATH,6.0,False,37.4,100.1,59.599999999999994,43.4,78.2
2026-07-04,2026-07,SF@COL,6.5,True,50.099999999999994,46.599999999999994,75.0,62.3,65.8
2026-07-05,2026-07,SF@COL,7.0,True,24.9,65.1,37.4,46.599999999999994,62.099999999999994
2026-07-06,2026-07,COL@LAD,5.5,False,53.800000000000004,53.6,78.80000000000001,76.0,88.80000000000001
2026-07-07,2026-07,COL@LAD,5.5,False,40.2,37.4,53.099999999999994,52.6,53.099999999999994
2026-07-08,2026-07,CHC@BAL,5.5,False,47.099999999999994,62.0,78.0,75.0,75.0
2026-07-09,2026-07,ATL@PIT,5.5,False,43.4,74.69999999999999,65.3,71.3,77.5
2026-07-10,2026-07,KC@BAL,5.5,False,27.7,27.7,21.2,27.7,36.9
