date,n_games,anchor_name,anchor_pts,anchor_pool_n,anchor_pool_mean,anchor_vs_pool,anchor_vs_slate,weak_pitcher,weak_whip,stack_pts,stack_vs_opp,stack_vs_day
2026-04-30,11,,,,,,,Adrian Houser,1.714,104.8,57.52,68.47
2026-05-02,15,Shota Imanaga,46.0,2,40.0,6.0,5.0,Dylan Cease,1.516,25.2,-2.49,-7.48
2026-05-03,15,Parker Messick,21.0,2,12.5,8.5,8.5,Joe Ryan,1.121,55.9,27.86,25.32
2026-05-04,12,Cam Schlittler,32.0,1,32.0,0.0,0.0,Cam Schlittler,0.826,18.0,-3.64,-12.98
2026-05-05,13,Gavin Williams,24.0,2,35.0,-11.0,-3.18,Andrew Abbott,1.744,21.2,-7.93,-13.44
2026-05-06,15,Will Warren,15.0,7,30.43,-15.43,-10.87,Michael Lorenzen,1.849,49.7,-14.3,18.95
2026-05-07,10,Max Meyer,24.0,4,32.75,-8.75,0.67,Simeon Woods Richardson,1.854,37.2,-12.98,2.92
2026-05-08,15,Jacob Misiorowski,61.0,9,32.78,28.22,23.21,Kyle Bradish,1.943,28.2,-1.04,-0.98
2026-05-09,14,Braxton Ashcraft,46.0,5,36.8,9.2,16.17,Luis Castillo,1.835,84.5,31.97,53.54
2026-05-10,15,José Soriano,51.0,7,42.86,8.14,18.1,Cade Cavalli,1.84,43.4,6.0,16.14
2026-05-11,6,Ryan Weathers,44.0,2,40.5,3.5,8.17,Michael Soroka,1.5,6.0,-0.55,-22.63
2026-05-12,15,Will Warren,35.0,5,36.2,-1.2,4.37,Slade Cecconi,1.761,27.5,1.9,-5.08
2026-05-13,15,Jacob Misiorowski,55.0,11,34.18,20.82,28.05,Simeon Woods Richardson,1.976,60.3,-3.61,28.09
2026-05-14,11,Nolan McLean,43.0,7,36.29,6.71,14.6,Luis Castillo,1.744,43.1,14.17,9.38
2026-05-15,15,Braxton Ashcraft,23.0,5,38.2,-15.2,-2.0,Shane Baz,1.65,49.6,23.33,18.42
2026-05-16,15,Jacob deGrom,18.0,7,27.86,-9.86,-8.95,Chris Bassitt,1.843,59.2,-5.83,25.11
2026-05-17,15,Paul Skenes,21.0,6,33.33,-12.33,-6.9,Jack Flaherty,1.775,52.8,26.68,16.46
2026-05-18,14,Max Meyer,46.0,8,24.38,21.62,18.81,Andrew Painter,1.866,49.4,14.82,12.47
2026-05-19,15,Jacob Misiorowski,52.0,12,25.75,26.25,28.16,Anthony Kay,1.568,12.2,2.97,-19.45
2026-05-20,15,Chris Sale,52.0,7,39.57,12.43,25.59,Aaron Nola,1.835,62.2,8.08,32.82
2026-05-21,7,Casey Mize,30.0,2,42.5,-12.5,-6.78,Sandy Alcantara,1.62,25.4,-28.16,0.11
2026-05-22,14,Eury Pérez,41.0,7,36.71,4.29,9.84,Jack Flaherty,1.775,62.6,17.36,33.51
2026-05-23,14,Paul Skenes,9.0,6,30.67,-21.67,-20.41,Chris Paddack,1.731,76.8,10.31,47.26
2026-05-24,15,Dylan Cease,32.0,10,26.6,5.4,5.86,Trevor Rogers,2.07,38.4,12.29,10.23
2026-05-25,13,Jacob Misiorowski,64.0,7,33.86,30.14,36.28,Anthony Kay,1.552,33.7,17.47,2.81
2026-05-26,15,Kyle Harrison,34.0,9,36.11,-2.11,6.48,Kyle Freeland,1.793,71.7,-1.63,33.98
2026-05-27,15,Shohei Ohtani,46.0,8,37.88,8.12,17.43,Bubba Chandler,1.593,85.8,24.35,56.88
2026-05-28,6,Davis Martin,40.0,4,37.75,2.25,10.09,Simeon Woods Richardson,2.203,49.8,13.32,20.62
2026-05-29,15,Max Meyer,21.0,6,18.0,3.0,1.74,Trevor Rogers,1.901,52.8,9.12,14.43
2026-05-30,15,Reid Detmers,33.0,11,30.73,2.27,8.0,Seth Lugo,1.812,68.7,23.28,31.06
2026-05-31,15,Jacob Misiorowski,55.0,9,43.56,11.44,24.7,Matthew Liberatore,1.719,12.0,-5.08,-23.09
2026-06-01,9,Emmet Sheehan,26.0,6,29.0,-3.0,0.17,Kyle Freeland,2.137,53.1,6.66,14.15
2026-06-02,15,Kyle Harrison,56.0,7,28.14,27.86,29.62,Eric Lauer,1.556,56.6,21.51,21.43
2026-06-03,15,Paul Skenes,32.0,8,39.12,-7.12,5.88,Michael Lorenzen,1.953,50.6,-6.08,17.44
2026-06-04,9,Chris Sale,26.0,2,34.5,-8.5,-0.55,Brayan Bello,2.231,46.6,-6.56,11.64
2026-06-05,15,Reid Detmers,40.0,11,26.18,13.82,16.69,Brady Singer,1.72,90.4,29.2,56.1
2026-06-06,14,Jacob Misiorowski,55.0,8,26.88,28.12,32.0,Landen Roupp,1.814,55.4,28.87,24.5
2026-06-07,15,Ranger Suarez,38.0,11,25.91,12.09,13.44,Kyle Freeland,2.159,75.3,2.34,41.4
2026-06-08,8,Kyle Harrison,-5.0,6,23.83,-28.83,-29.08,Patrick Corbin,1.483,30.6,-6.8,-5.48
2026-06-09,15,Dylan Cease,52.0,10,31.9,20.1,28.17,Trevor Rogers,1.535,47.1,7.02,10.67
2026-06-10,15,Reid Detmers,49.0,7,39.71,9.29,17.55,Michael Lorenzen,2.288,39.9,16.54,1.77
2026-06-11,7,Bryan Woo,6.0,3,12.67,-6.67,-10.0,Edward Cabrera,1.679,36.0,-4.44,-0.23
2026-06-12,15,Jacob Misiorowski,82.0,10,24.8,57.2,61.09,Landen Roupp,1.6,41.4,6.51,4.92
