date,n,top,hit,top2
2025-03-27,14,BAL@TOR,0,1
2025-03-28,9,CHC@ARI,1,1
2025-03-29,15,BOS@TEX,0,0
2025-03-30,13,CHC@ARI,0,0
2025-03-31,14,BOS@BAL,0,0
2025-04-01,13,PIT@TB,0,1
2025-04-02,15,ATL@LAD,0,1
2025-04-04,14,STL@BOS,1,1
2025-04-05,15,NYY@PIT,0,1
2025-04-07,11,MIN@KC,0,0
2025-04-08,15,BAL@ARI,0,0
2025-04-09,15,MIL@COL,1,1
2025-04-10,6,MIL@COL,0,0
2025-04-11,14,ATL@TB,0,0
2025-04-12,15,CHC@LAD,0,0
2025-04-13,15,CHC@LAD,0,0
2025-04-14,10,KC@NYY,0,0
2025-04-15,15,BOS@TB,0,1
2025-04-16,15,BOS@TB,0,0
2025-04-17,10,LAA@TEX,0,1
2025-04-18,14,ARI@CHC,0,0
2025-04-19,15,MIA@PHI,0,1
2025-04-21,8,CWS@BOS,0,1
2025-04-22,15,TEX@OAK,0,1
2025-04-23,15,SEA@BOS,0,1
2025-04-25,13,TOR@NYY,0,0
2025-04-28,8,ATL@COL,1,1
2025-04-29,14,ATL@COL,0,0
2025-05-01,11,WSH@PHI,0,0
2025-05-02,15,ARI@PHI,0,0
2025-05-03,14,TB@NYY,0,0
2025-05-05,10,LAD@MIA,0,0
2025-05-07,15,LAD@MIA,0,0
2025-05-09,15,SD@COL,0,1
2025-05-10,15,SD@COL,0,1
2025-05-11,15,NYY@ATH,1,1
2025-05-12,11,AZ@SF,0,0
2025-05-13,13,ATH@LAD,0,1
2025-05-15,6,ATH@LAD,1,1
2025-05-16,15,CLE@CIN,0,0
2025-05-17,15,WSH@BAL,0,0
2025-05-18,15,ATH@SF,0,0
2025-05-19,12,AZ@LAD,0,1
2025-05-20,14,PHI@COL,0,0
2025-05-22,8,PHI@COL,0,0
2025-05-25,15,NYY@COL,0,0
2025-05-26,12,NYY@LAA,0,0
2025-05-27,16,ATL@PHI,0,0
2025-05-28,15,ATH@HOU,0,0
2025-05-30,16,BOS@ATL,0,0
2025-05-31,16,NYY@LAD,1,1
2025-06-01,16,ATH@TOR,0,0
2025-06-02,8,LAA@BOS,1,1
2025-06-03,15,MIN@OAK,0,0
2025-06-04,14,LAA@BOS,1,1
2025-06-06,15,BAL@OAK,1,1
2025-06-07,15,NYM@COL,0,0
2025-06-08,15,BAL@OAK,0,0
2025-06-09,9,CIN@CLE,0,1
2025-06-10,15,SF@COL,0,0
2025-06-11,15,LAD@SD,0,0
2025-06-12,8,SF@COL,1,1
2025-06-13,15,LAA@BAL,0,0
2025-06-14,15,OAK@KC,0,0
2025-06-15,15,CIN@DET,0,0
2025-06-16,7,HOU@OAK,0,0
2025-06-17,15,HOU@OAK,1,1
2025-06-18,12,LAA@NYY,0,0
2025-06-20,15,ARI@COL,1,1
2025-06-21,15,SEA@CHC,1,1
2025-06-22,15,ARI@COL,0,0
2025-06-23,9,NYY@CIN,0,0
2025-06-24,15,LAD@COL,0,0
2025-06-25,15,LAD@COL,0,0
2025-06-26,9,LAD@COL,0,0
2025-06-27,15,PHI@ATL,0,0
2025-06-28,15,SD@CIN,0,0
2025-06-29,15,OAK@NYY,1,1
2025-06-30,8,STL@PIT,0,0
2025-07-01,12,HOU@COL,1,1
2025-07-03,10,HOU@COL,0,0
2025-07-04,15,CWS@COL,0,0
2025-07-05,15,CWS@COL,0,0
2025-07-06,15,CWS@COL,0,1
2025-07-07,10,COL@BOS,0,0
2025-07-08,15,ATL@OAK,1,1
2025-07-09,14,ATL@OAK,0,1
2025-07-12,15,COL@CIN,0,0
2025-07-13,15,TOR@OAK,1,1
2025-07-18,15,MIN@COL,0,0
2025-07-19,15,MIN@COL,1,1
2025-07-20,15,MIN@COL,0,0
2025-07-21,15,STL@COL,0,0
2025-07-22,15,STL@COL,1,1
2025-07-23,15,STL@COL,0,0
2025-07-25,15,PHI@NYY,0,0
2025-07-27,15,COL@BAL,0,0
2025-07-28,15,SEA@OAK,0,0
2025-07-30,15,ATL@KC,0,0
2025-08-01,15,PIT@COL,1,1
2025-08-02,15,ARI@OAK,0,0
2025-08-03,14,PIT@COL,0,0
2025-08-04,13,TOR@COL,1,1
2025-08-05,15,TOR@COL,0,0
2025-08-06,15,TOR@COL,0,0
2025-08-08,15,OAK@BAL,0,0
2025-08-10,15,LAA@DET,0,0
2025-08-11,11,TB@OAK,0,0
2025-08-12,15,LAD@LAA,0,1
2025-08-13,15,ATL@NYM,1,1
2025-08-14,7,ARI@COL,0,1
2025-08-15,15,ARI@COL,0,0
2025-08-16,15,ARI@COL,0,0
2025-08-17,15,ARI@COL,0,0
2025-08-18,12,LAD@COL,0,0
2025-08-20,14,LAD@COL,0,0
2025-08-21,9,LAD@COL,1,1
2025-08-22,15,CHC@LAA,0,0
2025-08-23,14,WSH@PHI,0,0
2025-08-24,15,CHC@LAA,0,0
2025-08-25,13,BOS@BAL,0,0
2025-08-26,15,DET@OAK,0,1
2025-08-27,15,DET@OAK,0,0
2025-08-28,8,ATL@PHI,1,1
2025-08-29,15,CHC@COL,0,0
2025-08-30,15,CHC@COL,0,0
2025-08-31,15,CHC@COL,0,0
2025-09-01,13,SF@COL,0,0
2025-09-02,14,SF@COL,0,0
2025-09-03,15,SF@COL,0,0
2025-09-04,6,LAA@KC,0,1
2025-09-05,15,SD@COL,0,0
2025-09-06,15,SD@COL,1,1
2025-09-07,15,SD@COL,0,0
2025-09-08,11,COL@LAD,0,0
2025-09-09,15,BOS@OAK,0,0
2025-09-10,15,BOS@OAK,0,1
2025-09-11,9,COL@SD,0,0
2025-09-12,15,CIN@OAK,0,0
2025-09-13,15,KC@PHI,0,1
2026-04-01,15,TEX@BAL,1,1
2026-04-06,13,HOU@COL,1,1
2026-04-07,15,HOU@COL,0,0
2026-04-08,15,HOU@COL,0,0
2026-04-09,6,CWS@KC,0,0
2026-04-10,15,MIN@TOR,1,1
2026-04-11,15,ARI@PHI,0,0
2026-04-12,15,PIT@CHC,1,1
2026-04-13,10,ARI@BAL,0,0
2026-04-14,15,CHC@PHI,0,0
2026-04-15,15,LAA@NYY,0,0
2026-04-16,10,LAA@NYY,0,0
2026-04-17,15,ATL@PHI,0,0
2026-04-18,15,LAD@COL,0,0
2026-04-19,15,LAD@COL,0,0
2026-04-20,10,LAD@COL,0,1
2026-04-21,15,SD@COL,0,0
2026-04-22,15,SD@COL,0,0
2026-04-23,9,SD@COL,1,1
2026-04-24,14,CHC@LAD,0,0
2026-04-25,14,SD@ARI,0,0
2026-04-27,8,LAA@CWS,0,0
2026-04-28,15,DET@ATL,0,0
2026-04-29,13,COL@CIN,0,0
2026-05-01,15,ATL@COL,0,0
2026-05-02,15,CLE@ATH,0,1
2026-05-03,15,ARI@CHC,0,1
2026-05-04,12,CIN@CHC,0,1
2026-05-05,13,BAL@MIA,0,1
2026-05-06,15,CWS@LAA,0,1
2026-05-07,10,NYM@COL,0,0
2026-05-08,15,ATH@BAL,0,0
2026-05-09,15,NYM@ARI,0,0
2026-05-10,15,ATH@BAL,0,0
2026-05-11,6,SF@LAD,0,0
2026-05-12,15,STL@ATH,0,0
2026-05-13,15,STL@ATH,0,0
2026-05-14,11,STL@ATH,0,0
2026-05-15,15,ARI@COL,0,1
2026-05-16,15,ARI@COL,0,0
2026-05-17,15,ARI@COL,1,1
2026-05-18,14,CIN@PHI,0,0
2026-05-19,15,TEX@COL,0,0
2026-05-20,15,ATH@LAA,0,1
2026-05-21,7,COL@ARI,0,0
2026-05-22,14,COL@ARI,0,0
2026-05-25,13,SEA@ATH,0,1
2026-05-26,15,COL@LAD,0,1
2026-05-27,15,TB@BAL,0,1
2026-05-28,6,LAA@DET,0,0
2026-05-29,15,SD@WSH,0,1
2026-05-30,15,SF@COL,0,0
2026-05-31,15,SF@COL,1,1
2026-06-01,9,KC@CIN,0,0
2026-06-02,15,LAD@ARI,0,0
2026-06-03,15,CWS@MIN,0,0
2026-06-04,9,ATH@CHC,0,0
2026-06-05,15,MIL@COL,0,0
2026-06-07,15,MIL@COL,0,0
2026-06-08,8,MIL@ATH,1,1
2026-06-09,15,MIL@ATH,1,1
2026-06-10,15,MIL@ATH,0,0
2026-06-12,15,COL@ATH,0,0
2026-06-13,15,COL@ATH,1,1
2026-06-14,14,COL@ATH,1,1
2026-06-15,10,PIT@ATH,0,0
2026-06-16,15,PIT@ATH,0,0
2026-06-18,8,CWS@NYY,0,0
2026-06-19,14,PIT@COL,0,0
2026-06-20,14,LAA@ATH,0,0
2026-06-21,14,PIT@COL,0,0
2026-06-22,12,BOS@COL,0,0
2026-06-23,15,BOS@COL,0,0
2026-06-26,15,COL@MIN,0,0
2026-06-27,15,COL@MIN,0,0
2026-06-28,15,ATH@LAA,0,0
2026-06-29,13,MIA@COL,0,1
2026-06-30,15,CWS@BAL,1,1
2026-07-01,14,SD@CHC,1,1
2026-07-02,9,MIA@COL,0,1
2026-07-03,13,MIA@ATH,0,0
2026-07-04,15,SF@COL,0,0
2026-07-05,15,SF@COL,0,1
